customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureScore,MonthlyScore,TotalScore,ContractScore,CustomerScore,Segment,HealthScore,RiskLevel,Recommendation
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,0.013888888888888888,0.11542288557213931,0.0034370394252026537,0,3.0014948440064484,Lost,2.2339359358788227,High Risk,Offer retention discount
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,0.4722222222222222,0.3850746268656716,0.21756401989683127,50,35.292942222075574,At Risk,40.38188656707252,Medium Risk,Send engagement campaign
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,0.027777777777777776,0.35422885572139307,0.012452791083271925,0,8.693799868869851,Lost,6.458085946236027,High Risk,Offer retention discount
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,0.625,0.23930348258706463,0.21195076455416362,50,38.26410023390784,At Risk,42.63832135266006,Medium Risk,Send engagement campaign
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,0.027777777777777776,0.5218905472636816,0.017461542004421522,0,12.247383736561604,Lost,9.098230092399094,High Risk,Offer retention discount
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,0.1111111111111111,0.8099502487562189,0.09447540530582167,0,24.42246563180169,At Risk,17.84447219732216,High Risk,Offer retention discount
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,0.3055555555555555,0.7049751243781094,0.22446112748710395,0,35.30016980926857,At Risk,25.35282171951591,High Risk,Offer retention discount
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,0.1388888888888889,0.11442786069651739,0.03476188282977156,0,9.234588082676765,Lost,6.752131647858716,High Risk,Offer retention discount
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,0.38888888888888884,0.8611940298507462,0.3507334653647753,0,46.808774767161495,Potential Loyalist,33.352913748547245,High Risk,Offer retention discount
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,0.861111111111111,0.3771144278606965,0.40161546610169496,50,58.05135164572617,Potential Loyalist,56.53043640378615,Medium Risk,Send engagement campaign
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,0.18055555555555555,0.3154228855721393,0.0676411661753869,0,16.236326580680487,Lost,11.839039104633429,High Risk,Offer retention discount
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,0.2222222222222222,0.006965174129353213,0.03762896094325719,100,10.53335080920624,Lost,37.71186830218839,High Risk,Offer retention discount
